product_name,image,cat_l0,cat_l1,cat_l2,cat_l3,barcode,brand,manufacturer,capacity,effect,price,source,href
Bột giặt Coop Select hương hoa cửa trên 700g,,,Nhà cửa và đời sống,Giặt xả,Bột giặt,,Coop Select,,,,31500,,https://cooponline.vn/products/bot-giat-coop-select-huong-hoa-cua-tren-700g/,
Bột giặt Omo Comfort hộp giấy hương hoa Pháp ngọt ngào Túi 5.1kg,,,Nhà cửa và đời sống,Giặt xả,Bột giặt,,Omo,,,,229900,,https://cooponline.vn/products/bot-giat-omo-comfort-huong-hoa-hong-diu-mat-ben-lau-5-1kg/,268000
Bột giặt Ariel sạch nhanh hương nắng mai túi 5.2kg/5.5kg,,,Nhà cửa và đời sống,Giặt xả,Bột giặt,,Ariel,,,,228000,,https://cooponline.vn/products/bot-giat-ariel-sach-nhanh-nang-mai-tui-5-5kg/,275000
Bột giặt Lix đậm đặc hương nước hoa 5.5kg,,,Nhà cửa và đời sống,Giặt xả,Bột giặt,,Lix,,,,140000,,https://cooponline.vn/products/bot-giat-lix-dam-dac-huong-nuoc-hoa-5-5kg/,292000
Bột giặt Omo comfort tinh dầu thơm nồng nàn vàng sang trọng bền lâu 3.9kg,,,Nhà cửa và đời sống,Giặt xả,Bột giặt,,Omo,,,,172900,,https://cooponline.vn/products/bot-giat-omo-comfort-tinh-dau-thom-nong-nan-vang-sang-trong-ben-lau-3-9kg/,207500
Bột giặt Omo Comfort hộp giấy hương hoa Pháp ngọt ngào Túi 3.9kg,,,Nhà cửa và đời sống,Giặt xả,Bột giặt,,Omo,,,,172900,,https://cooponline.vn/products/bot-giat-omo-comfort-tinh-dau-thom-hong-hoa-hong-diu-mat-ben-lau-3-9kg/,207500
Bột giặt Omo đỏ 4.3kg,,,Nhà cửa và đời sống,Giặt xả,Bột giặt,,Omo,,,,172900,,https://cooponline.vn/products/bot-giat-omo-do-4-3kg/,207500
Bột giặt Attack hương ngày sảng khoái 3.8kg,,,Nhà cửa và đời sống,Giặt xả,Bột giặt,,Attack,,,,195000,,https://cooponline.vn/products/bot-giat-attack-huong-ngay-sang-khoai-3-8kg/,
Bột giặt Omo đỏ 5.5kg,,,Nhà cửa và đời sống,Giặt xả,Bột giặt,,Omo,,,,222000,,https://cooponline.vn/products/bot-giat-omo-do-5-5kg/,268000
Bột giặt Ariel hương Downy đam mê túi 5.0kg,,,Nhà cửa và đời sống,Giặt xả,Bột giặt,,Ariel,,,,275000,,https://cooponline.vn/products/bot-giat-ariel-huong-downy-dam-me-tui-5-0kg/,
Bột giặt Attack khử mùi hương anh đào 3.8kg,,,Nhà cửa và đời sống,Giặt xả,Bột giặt,,Attack,,,,195000,,https://cooponline.vn/products/bot-giat-attack-khu-mui-huong-anh-dao-3-8kg/,
Bột giặt Tide trắng đột phá 5.3kg/5.5kg,,,Nhà cửa và đời sống,Giặt xả,Bột giặt,,P&G,,,,230000,,https://cooponline.vn/products/bot-giat-tide-trang-dot-pha-5-5kg/,
Bột giặt Omo Comfort hương hoa hồng pháp 700g,,,Nhà cửa và đời sống,Giặt xả,Bột giặt,,Omo,,,,43000,,https://cooponline.vn/products/bot-giat-omo-comfort-tinh-dau-thom-dieu-ky-700g/,
Bột giặt Lix Extra hương nước hoa 5.5kg,,,Nhà cửa và đời sống,Giặt xả,Bột giặt,,Lix,,,,123000,,https://cooponline.vn/products/bot-giat-lix-extra-huong-nuoc-hoa-5-5kg/,202900
Bột giặt Lix đậm đặc 5.5kg,,,Nhà cửa và đời sống,Giặt xả,Bột giặt,,Lix,,,,130500,,https://cooponline.vn/products/bot-giat-lix-dam-dac-5-5kg/,269900
Bột giặt Lix Extra 5.5kg,,,Nhà cửa và đời sống,Giặt xả,Bột giặt,,Lix,,,,202900,,https://cooponline.vn/products/bot-giat-lix-extra-5-5kg/,
Bột giặt Lix Extra hương chanh 5.5kg,,,Nhà cửa và đời sống,Giặt xả,Bột giặt,,Lix,,,,123000,,https://cooponline.vn/products/bot-giat-lix-extra-huong-chanh-5-5kg/,193000
Bột giặt Omo Comfort tinh dầu thơm nồng nàn 700g,,,Nhà cửa và đời sống,Giặt xả,Bột giặt,,Omo,,,,43000,,https://cooponline.vn/products/bot-giat-omo-comfort-tinh-dau-thom-nong-nan-700g/,
Bột giặt Surf nước xả vải hương gió xuân 5.5kg,,,Nhà cửa và đời sống,Giặt xả,Bột giặt,,Surf,,,,149900,,https://cooponline.vn/products/bot-giat-suft-nuoc-xa-vai-huong-gio-xuan-5-5kg/,196900
